INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
University of Alaska Southeast,www.uas.alaska.edu/,NA,0.625,NA,19111,920,0.1398,0.538,0.0109,0.0946,0.0641,0.1065,0.0033,0.1424,0.0076,0.0326,0.3,16796,Juneau,AK,1,0
Alaska Pacific University,www.alaskapacific.edu/,NA,0.8621,NA,23500,400,0.3442,0.3325,0.0275,0.09,0.07,0.2325,0.015,0.115,0.0075,0.11,0.25,34964,Anchorage,AK,0,1
Alaska Vocational Technical Center,www.avtec.edu/,NA,NA,NA,NA,452,0.0602,0.4978,0.0155,0.0288,0.0088,0.2478,0.0066,0.0752,0,0.1195,NA,NA,Seward,AK,1,0
Charter College,https://chartercollege.edu/,NA,NA,NA,14176,2277,0.5579,0.3808,0.0839,0.2306,0.0413,0.0979,0.0347,0.0913,0.0114,0.0281,NA,31188,Anchorage,AK,0,1
Alaska Career College,www.alaskacareercollege.edu/,NA,NA,NA,7377,255,0.581,0.251,0.102,0.0824,0.149,0.2549,0.0392,0.1137,0,0.0078,NA,NA,Anchorage,AK,0,1
Empire Beauty School-Tucson,www.empire.edu/,NA,NA,NA,13000,213,0.4952,0.3099,0.0469,0.5023,0.0188,0.0188,0,0.0986,0,0.0047,NA,NA,Tucson,AZ,0,1
Carrington College-Phoenix North,https://carrington.edu/,NA,NA,NA,9500,1087,0.5536,0.1536,0.0791,0.5667,0.023,0.0524,0.0018,0.0092,0.0055,0.1086,NA,NA,Phoenix,AZ,0,1
Carrington College-Mesa,https://carrington.edu/,NA,NA,NA,9500,492,0.5402,0.2602,0.0833,0.4451,0.0183,0.0589,0.0041,0.0061,0.0041,0.1199,NA,NA,Mesa,AZ,0,1
Carrington College-Tucson,https://carrington.edu/,NA,NA,NA,9500,437,0.6093,0.1396,0.0664,0.6979,0.0229,0.0229,0.0069,0.0137,0,0.0297,NA,NA,Tucson,AZ,0,1
Arizona Academy of Beauty,www.arizonaacademy.com/,NA,NA,NA,5250,49,0.6719,0.2449,0.1224,0.4898,0.0204,0,0,0.1224,0,0,NA,NA,Tucson,AZ,0,1
