INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
Roanoke-Chowan Community College,www.roanokechowan.edu/,NA,NA,NA,NA,265,0.3392,0.1925,0.7396,0.0113,0.0151,0.0075,0.0075,0.0075,0.0075,0.0113,NA,11560,Ahoskie,NC,1,0
Robeson Community College,www.robeson.edu/,NA,NA,NA,NA,1454,0.4724,0.1905,0.218,0.1162,0.0028,0.4113,0,0,0,0.0612,NA,15753,Lumberton,NC,1,0
Rockingham Community College,https://www.rockinghamcc.edu/,NA,NA,NA,NA,1071,0.44,0.6359,0.1681,0.0896,0.0037,0.0047,0,0.043,0.0093,0.0458,NA,10236,Wentworth,NC,1,0
Rowan-Cabarrus Community College,https://www.rccc.edu/,NA,NA,NA,9458,4073,0.2806,0.509,0.218,0.164,0.015,0.0039,2e-4,0.0358,0.0268,0.0273,NA,14666,Salisbury,NC,1,1
Saint Augustine's University,www.st-aug.edu/,NA,0.5873,NA,29669,766,0.5244,0.017,0.846,0.03,0.0117,0.0209,0.0013,0,0.0731,0,0.2308,30324,Raleigh,NC,0,1
Salem College,www.salem.edu/,1168,0.8703,NA,26649,390,0.4876,0.4564,0.2,0.1872,0.0154,0.0077,0,0.0872,0.0205,0.0256,0.6739,47947,Winston-Salem,NC,0,1
Sampson Community College,www.sampsoncc.edu/,NA,NA,NA,NA,941,0.5013,0.3688,0.2582,0.2763,0.0032,0.0244,0.0021,0.0425,0.0138,0.0106,NA,14337,Clinton,NC,1,0
Sandhills Community College,https://www.sandhills.edu/,NA,NA,NA,NA,2375,0.3245,0.5255,0.1785,0.1339,0.0156,0.0286,8e-4,0.0476,0.0034,0.0661,NA,18596,Pinehurst,NC,1,0
Shaw University,www.shawu.edu/,NA,0.3048,NA,32500,839,0.6515,0.0274,0.6317,0.0381,0.006,0.0024,0.0024,0.0501,0.1049,0.1371,0.1805,29659,Raleigh,NC,0,1
Paul Mitchell the School-Fayetteville,paulmitchell.edu/fayetteville,NA,NA,NA,11740,179,0.657,0.4078,0.4246,0.095,0.0056,0.0223,0.0056,0.0168,0.0056,0.0168,NA,NA,Fayetteville,NC,0,1
St. Andrews University,www.sa.edu/,NA,NA,NA,25250,806,0.4769,0.2605,0.1787,0.0931,0.0087,0.0248,0,0.0335,0.036,0.3648,0.4167,49709,Laurinburg,NC,0,0
Southeastern Community College,www.sccnc.edu/,NA,NA,NA,NA,821,0.4535,0.5652,0.257,0.0646,0.0024,0.0426,0,0.0572,0,0.011,NA,14567,Whiteville,NC,1,0
Southwestern Community College,https://www.southwesterncc.edu/,NA,NA,NA,10500,1304,0.301,0.7124,0.0238,0.0989,0.01,0.102,8e-4,0.0314,0.0061,0.0146,NA,14429,Sylva,NC,1,0
Stanly Community College,www.stanly.edu/,NA,NA,NA,NA,1430,0.3131,0.6336,0.2077,0.0462,0.0224,0.0035,7e-4,0.0287,0.0077,0.0497,NA,12847,Albemarle,NC,1,0
Southeastern Baptist Theological Seminary,www.sebts.edu/,1090,0.7661,NA,NA,466,0.1826,0.7854,0.0343,0.0601,0.0258,0.0043,0,0,0.0021,0.088,0.5882,20909,Wake Forest,NC,0,1
Surry Community College,https://surry.edu/,NA,NA,NA,NA,1445,0.2517,0.7488,0.0339,0.173,0.0028,0.0021,7e-4,0.0263,0.0014,0.0111,NA,14199,Dobson,NC,1,0
Alamance Community College,www.alamancecc.edu/,NA,NA,NA,NA,2393,0.246,0.4605,0.1864,0.2081,0.0196,0.005,0,0.0251,0.0422,0.0531,NA,22570,Graham,NC,1,1
Tri-County Community College,https://www.tricountycc.edu/,NA,NA,NA,NA,435,0.2984,0.8322,0.0276,0.0782,0.0092,0.0161,0.0023,0.0161,0,0.0184,NA,14581,Murphy,NC,1,0
Vance-Granville Community College,www.vgcc.edu/,NA,NA,NA,NA,1613,0.3138,0.4371,0.3887,0.0942,0.0087,0.0056,0.0012,0.0223,0.0062,0.036,NA,13525,Henderson,NC,1,0
Wake Forest University,www.wfu.edu/,1469,0.21560000000000001,NA,21500,5471,0.0949,0.6427,0.0658,0.096,0.0528,5e-4,2e-4,0.0561,0.0757,0.0102,0.9072,82818,Winston-Salem,NC,0,1
Wake Technical Community College,www.waketech.edu/,NA,NA,NA,12000,18605,0.2731,0.4456,0.2196,0.1818,0.0493,0.0044,0.0013,0.0408,0.0233,0.0339,NA,16798,Raleigh,NC,1,1
Warren Wilson College,https://www.warren-wilson.edu/,1290,0.7762,NA,25000,720,0.3707,0.7778,0.0472,0.0722,0.0139,0.0042,0,0.0431,0.0292,0.0125,0.3949,53576,Swannanoa,NC,0,0
Watts College of Nursing,wattscollegeofnursing.edu/,NA,NA,NA,NA,134,0.2454,0.5522,0.2537,0.0299,0.0522,0.0075,0,0.0224,0,0.0821,NA,NA,Durham,NC,0,1
Wayne Community College,www.waynecc.edu/,NA,NA,NA,6500,1998,0.3748,0.512,0.2337,0.2117,0.0105,0.0055,0.001,0.0165,0.0035,0.0055,NA,11311,Goldsboro,NC,1,1
Western Piedmont Community College,https://www.wpcc.edu/,NA,NA,NA,NA,1332,0.3305,0.7012,0.0518,0.1547,0.0728,0.003,0.003,0.006,0.0053,0.0023,NA,15451,Morganton,NC,1,1
Wilkes Community College,www.wilkescc.edu/,NA,NA,NA,7625,1881,0.2913,0.7842,0.0276,0.1361,0.008,0.0021,5e-4,0.0255,0.0027,0.0133,NA,10494,Wilkesboro,NC,1,0
Wilson Community College,www.wilsoncc.edu/,NA,NA,NA,10500,807,0.2507,0.461,0.3755,0.0905,0.0211,0.0062,0,0.0099,0,0.0359,NA,13807,Wilson,NC,1,0
Wingate University,https://www.wingate.edu/,1083,0.8499,NA,25000,2462,0.4143,0.4139,0.2478,0.1007,0.0191,0.0032,0.0016,0.0849,0.0967,0.0321,0.619,57780,Wingate,NC,0,1
Carolina Christian College,www.carolina.edu/,NA,NA,NA,NA,53,1,0.0189,0.7547,0.1509,0,0,0,0.0755,0,0,NA,18252,Winston Salem,NC,0,1
Winston Salem Barber School,www.wsbarberschool.com/,NA,NA,NA,NA,36,0.7065,0.0278,0.8056,0.1389,0,0,0,0,0,0.0278,NA,NA,Winston-Salem,NC,0,1
Winston-Salem State University,www.wssu.edu/,946,0.6855,NA,25000,4244,0.6149,0.054,0.8308,0.0483,0.0071,0.0038,7e-4,0.0379,0.0054,0.012,0.4705,22345,Winston-Salem,NC,1,1
Western Carolina University,www.wcu.edu/,1151,0.8666,NA,21868,9867,0.3285,0.7619,0.0657,0.0866,0.0126,0.0087,0.0014,0.0396,0.015,0.0085,0.6204,19057,Cullowhee,NC,1,0
Rasmussen University-North Dakota,https://rasmussen.edu/,NA,NA,NA,20899,44,0.4614,0.5455,0.1591,0.1136,0.0455,0,0,0.0455,0,0.0909,NA,24675,Fargo,ND,0,1
Bismarck State College,https://bismarckstate.edu/,NA,NA,NA,11533,2629,0.1403,0.8136,0.0312,0.0563,0.0065,0.0175,0.0015,0.0521,0.0114,0.0099,NA,15274,Bismarck,ND,1,1
Dickinson State University,www.dickinsonstate.edu/,NA,0.6005,NA,18442,1108,0.2176,0.769,0.0244,0.0857,0.0072,0.0153,0.0063,0.0397,0.0325,0.0199,0.3681,20155,Dickinson,ND,1,0
Nueta Hidatsa Sahnish College,www.nhsc.edu/,NA,NA,NA,NA,139,0.3081,0.0791,0.0144,0.0576,0,0.777,0.0072,0.0647,0,0,0,10361,New Town,ND,1,0
Josef's School of Hair Skin & Body-Grand Forks,www.josefsschoolofhairdesign.com/,NA,NA,NA,7917,44,0.5139,0.75,0,0.1364,0,0.0909,0,0,0,0.0227,NA,NA,Grand Forks,ND,0,1
University of Jamestown,www.uj.edu/,NA,0.9351,NA,27000,947,0.2607,0.68,0.0253,0.0834,0.0042,0.0032,0.0021,0.0306,0.0623,0.1088,0.5565,36960,Jamestown,ND,0,0
Lake Region State College,www.lrsc.edu/,NA,NA,NA,10293,599,0.1054,0.6795,0.0417,0.0952,0.005,0.0267,0.0033,0.0618,0.0651,0.0217,NA,15890,Devils Lake,ND,1,0
Cankdeska Cikana Community College,www.littlehoop.edu/,NA,NA,NA,NA,278,0.5475,0.0863,0,0.018,0.0036,0.8669,0,0.0216,0,0.0036,NA,13745,Fort Totten,ND,1,0
University of Mary,https://www.umary.edu/,NA,0.7825,NA,24000,2280,0.178,0.7952,0.0232,0,0.0149,0.0171,0.0053,0.0254,0.0285,0.0904,0.6501,32879,Bismarck,ND,0,0
Mayville State University,www.mayvillestate.edu/,NA,NA,NA,18585,704,0.2442,0.7259,0.0582,0.0682,0.0071,0.0199,0.0028,0.0866,0.0227,0.0085,0.3228,21042,Mayville,ND,1,0
Minot State University,www.minotstateu.edu/,1084,0.7221,NA,19609,2072,0.2411,0.6404,0.0454,0.0951,0.013,0.0193,0.0039,0.0652,0.1052,0.0125,0.4936,18141,Minot,ND,1,1
University of North Dakota,https://und.edu/,NA,0.7709,NA,22057,9296,0.1648,0.786,0.0253,0.0572,0.0227,0.0106,0.0012,0.046,0.0381,0.0128,0.6376,24580,Grand Forks,ND,1,1
North Dakota State College of Science,https://www.ndscs.edu/,NA,NA,NA,12000,1733,0.1666,0.7998,0.06,0.0433,0.0098,0.0127,0.0012,0.0479,0.0052,0.0202,NA,16291,Wahpeton,ND,1,0
Dakota College at Bottineau,www.dakotacollege.edu/,NA,NA,NA,10507,417,0.1222,0.6091,0.0552,0.0791,0.0072,0.0288,0,0.0791,0.1319,0.0096,NA,17270,Bottineau,ND,1,0
North Dakota State University-Main Campus,https://www.ndsu.edu/,1120,0.9581,NA,23199,9567,0.1872,0.8539,0.0318,0.0306,0.0164,0.0065,3e-4,0.0437,0.0075,0.0093,0.6644,23391,Fargo,ND,1,1
Williston State College,https://willistonstate.edu/,NA,NA,NA,10099,686,0.2037,0.5335,0.0496,0.1939,0.016,0.0219,0.0015,0.0816,0.086,0.016,NA,18119,Williston,ND,1,0
Sitting Bull College,https://www.sittingbull.edu/,NA,NA,NA,NA,226,0.6883,0.0708,0,0.0133,0,0.9159,0,0,0,0,NA,9847,Fort Yates,ND,1,0
Trinity Bible College and Graduate School,trinitybiblecollege.edu/,1120,0.3622,NA,22531,138,0.5,0.7246,0.0435,0.0942,0.029,0.0217,0,0.0725,0,0.0145,0.5,29953,Ellendale,ND,0,0
Turtle Mountain Community College,www.tm.edu/,NA,NA,NA,NA,613,0.5826,0.0228,0,0.0033,0,0.9739,0,0,0,0,0.2727,14760,Belcourt,ND,0,0
United Tribes Technical College,https://uttc.edu/,NA,NA,NA,NA,532,0.751,0.0188,0.0056,0.0019,0.0019,0.9643,0,0.0075,0,0,NA,12498,Bismarck,ND,0,1
Valley City State University,www.vcsu.edu/,1090,0.6931,NA,20369,918,0.1729,0.7985,0.0327,0.0588,0.0065,0.0087,0.0087,0.0566,0.024,0.0054,0.5376,20713,Valley City,ND,1,0
ETI Technical College,https://eticollege.edu/,NA,NA,NA,13805,182,0.7303,0.6154,0.3242,0.011,0.011,0.0055,0,0.0275,0,0.0055,NA,20701,Niles,OH,0,1
Herzing University-Akron,https://www.herzing.edu/,NA,0.9403,NA,21500,378,0.7832,0.5212,0.3704,0.037,0.0106,0,0,0.045,0,0.0159,0,26588,Akron,OH,0,1
University of Akron Main Campus,www.uakron.edu/,1088,0.7091,NA,23250,10011,0.2886,0.6899,0.1308,0.0393,0.0452,0.0018,8e-4,0.0502,0.0199,0.0222,0.5082,24555,Akron,OH,1,1
University of Akron Wayne College,https://wayne.uakron.edu/,1049,0.8053,NA,23250,489,0.141,0.8569,0.0307,0.047,0.0184,0,0,0.0286,0.002,0.0164,NA,16603,Orrville,OH,1,0
Allegheny Wesleyan College,awc.edu/,NA,NA,NA,NA,54,0.4535,0.9074,0,0,0,0.0926,0,0,0,0,0.4167,13885,Salem,OH,0,0
Apollo Career Center,https://www.apollocareercenter.com/adult-education/,NA,NA,NA,8107,527,0.098,0.6964,0.1708,0.0664,0.0095,0.0038,0.0076,0.0455,0,0,NA,NA,Lima,OH,1,1
Art Academy of Cincinnati,https://www.artacademy.edu/,NA,0.3314,NA,27000,254,0.4803,0.6378,0.1811,0.0591,0.0079,0,0,0.0827,0.0039,0.0276,0.3793,48176,Cincinnati,OH,0,1
Ashland County-West Holmes Career Center,www.acwhcc.org/,NA,NA,NA,NA,35,0.4286,0.9714,0.0286,0,0,0,0,0,0,0,NA,NA,Ashland,OH,1,0
Ashland University,https://www.ashland.edu/,1119,0.8057,NA,25000,2250,0.276,0.7716,0.0884,0.036,0.0129,0.0067,0,0.0333,0.0227,0.0284,0.6763,40519,Ashland,OH,0,0
Ashtabula County Technical and Career Campus,www.atech.edu/,NA,NA,NA,NA,161,0.2575,0.8882,0.0311,0.0186,0.0124,0.0062,0,0.0248,0,0.0186,NA,NA,Jefferson,OH,1,0
Athenaeum of Ohio,https://www.athenaeum.edu/,NA,NA,NA,NA,29,0,0.931,0,0,0,0,0,0,0,0.069,NA,NA,Cincinnati,OH,0,1
Auburn Career Center,https://www.auburncc.org/,NA,NA,NA,6365,234,0.122,0.8376,0.0684,0.0641,0.0043,0.0043,0,0.0171,0,0.0043,NA,NA,Concord Twp,OH,1,1
Aultman College of Nursing and Health Sciences,https://www.aultmancollege.edu/,1020,0.4127,25,20000,232,0.372,0.8491,0.0733,0.0043,0.0043,0,0,0.0345,0,0.0345,NA,27792,Canton,OH,0,1
Baldwin Wallace University,https://www.bw.edu/,1176,0.7685,NA,27000,2775,0.285,0.7733,0.0638,0.0724,0.0187,0.0014,7e-4,0.0602,0.0029,0.0065,0.6697,54200,Berea,OH,0,1
Belmont College,www.belmontcollege.edu/,NA,NA,NA,8747,484,0.3098,0.9339,0.0145,0.0124,0.0062,0,0,0.0331,0,0,NA,10553,St Clairsville,OH,1,0
Bluffton University,www.bluffton.edu/,1020,0.6116,NA,27000,595,0.3735,0.6672,0.1866,0.0336,0.0084,0.0017,0,0.0286,0.0134,0.0605,0.53,50579,Bluffton,OH,0,0
Bowling Green State University-Firelands,https://www.firelands.bgsu.edu/,NA,NA,NA,25000,1134,0.2618,0.7037,0.1296,0.0811,0.0062,0.0018,0,0.0556,0,0.022,NA,21387,Huron,OH,1,0
Bowling Green State University-Main Campus,www.bgsu.edu/,1118,0.8061,NA,25000,12255,0.227,0.798,0.0654,0.0515,0.0113,9e-4,6e-4,0.0358,0.013,0.0236,0.6232,29238,Bowling Green,OH,1,0
Bryant & Stratton College-Parma,https://www.bryantstratton.edu/,NA,NA,NA,21549,522,0.6827,0.454,0.3582,0.0766,0.023,0.0038,0.0038,0.0556,0.0019,0.023,0,23695,Parma,OH,0,1
Buckeye Hills Career Center,www.buckeyehills.net/,NA,NA,NA,8250,163,0.4444,0.9325,0,0,0,0,0,0.0491,0,0.0184,NA,NA,Rio Grande,OH,1,0
Butler Technology and Career Development Schools,www.butlertech.org/,NA,NA,NA,6396,483,0.2408,0.7122,0.1532,0.0393,0.0331,0.0041,0.0021,0.0414,0,0.0145,NA,NA,Monroe,OH,1,1
Canton City Schools Adult Career and Technical Education,https://www.ccsdistrict.org/site/default.aspx?PageID=189,NA,0.6296,NA,9500,87,0.5825,0.5287,0.3103,0,0.0115,0,0,0.1494,0,0,NA,NA,Canton,OH,1,1
Capital University,https://www.capital.edu/,1118,0.7317,NA,26889,1709,0.3101,0.6776,0.1205,0.0702,0.0263,0.0029,0,0.0696,0.014,0.0187,0.6168,54086,Columbus,OH,0,1
Case Western Reserve University,www.case.edu/,1501,0.2868,42,24000,6108,0.1708,0.3461,0.064,0.118,0.2734,5e-4,5e-4,0.0521,0.1343,0.0111,0.8476,81533,Cleveland,OH,0,1
Cedarville University,https://www.cedarville.edu/,1246,0.6282,NA,20937,3815,0.154,0.8613,0.0139,0.0325,0.028,0.0016,5e-4,0.0299,0.0278,0.0045,0.7408,46994,Cedarville,OH,0,0
Central Ohio Technical College,www.cotc.edu/,NA,NA,NA,12072,1549,0.26,0.6488,0.1498,0.0316,0.0594,0.0019,0.0013,0.0839,6e-4,0.0226,NA,14344,Newark,OH,1,1
Central School of Practical Nursing,https://www.cspnohio.edu/,NA,NA,NA,9500,56,0.5439,0.2321,0.7143,0.0536,0,0,0,0,0,0,NA,NA,Independence,OH,0,1
Central State University,https://www.centralstate.edu/,NA,0.46,NA,30739,3412,0.4218,0.177,0.4927,0.0938,0.0155,0.0026,0,0.0495,0.0487,0.1202,0.2505,22435,Wilberforce,OH,1,0
Choffin Career  and Technical Center,www.choffinctcadulted.com/,NA,NA,NA,5500,73,0.9118,0.3562,0.5753,0.0548,0,0,0,0.0137,0,0,NA,19673,Youngstown,OH,1,1
The Christ College of Nursing and Health Sciences,https://www.thechristcollege.edu/,972,0.5018,NA,24250,762,0.343,0.7244,0.1667,0.0315,0.0381,0,0.0013,0.0039,0,0.0341,0.5294,28126,Cincinnati,OH,0,1
Cincinnati College of Mortuary Science,www.ccms.edu/,NA,NA,NA,15000,101,0.2418,0.802,0.0891,0.0495,0,0,0.0099,0.0495,0,0,NA,NA,Cincinnati,OH,0,1
University of Cincinnati-Main Campus,www.uc.edu/,1281,0.8767,35,21250,29094,0.1761,0.7055,0.0842,0.0462,0.0547,0.0011,5e-4,0.0455,0.0491,0.0131,0.7387,28783,Cincinnati,OH,1,1
Cincinnati State Technical and Community College,www.cincinnatistate.edu/,NA,NA,NA,14715,5283,0.3007,0.5012,0.268,0.035,0.0292,0.0021,0.0011,0.0399,0.0216,0.1018,NA,13830,Cincinnati,OH,1,1
University of Cincinnati-Clermont College,www.ucclermont.edu/,NA,NA,NA,21250,2606,0.1126,0.7172,0.1105,0.0664,0.0249,0.0023,0.0023,0.0361,0.0046,0.0357,NA,14280,Batavia,OH,1,1
University of Cincinnati-Blue Ash College,www.ucblueash.edu/,NA,NA,NA,21250,4104,0.2219,0.5775,0.2169,0.085,0.0436,0.0024,0.0012,0.0548,0.0115,0.0071,NA,13881,Blue Ash,OH,1,1
Ohio Christian University,www.ohiochristian.edu/,910,0.399,NA,29579,816,0.3384,0.674,0.1777,0.0441,0.0074,0.0037,0.0049,0.0331,0,0.0551,0.4385,33472,Circleville,OH,0,0
Clark State College,https://www.clarkstate.edu/,NA,NA,NA,14490,3134,0.3608,0.6487,0.1994,0.0479,0.0077,0.0048,6e-4,0.0587,0.0105,0.0217,NA,13395,Springfield,OH,1,1
Cleveland Institute of Art,www.cia.edu/,1156,0.5628,NA,27000,560,0.3784,0.6536,0.1339,0.1054,0.0321,0,0,0.0679,0.0036,0.0036,0.5636,62966,Cleveland,OH,0,1
Cleveland Institute of Music,www.cim.edu/,NA,0.3818,NA,24968,193,0.1457,0.4715,0.0363,0.0622,0.1762,0.0104,0.0052,0.0363,0.1917,0.0104,0.7121,58843,Cleveland,OH,0,1
Cleveland State University,www.csuohio.edu/,980,0.9548,28,21797,9077,0.3901,0.5783,0.164,0.0907,0.0398,0.0025,8e-4,0.0486,0.0597,0.0156,0.5203,26310,Cleveland,OH,1,1
Columbiana County Career and Technical Center,www.ccctc.k12.oh.us/,NA,NA,NA,12109,114,0.6784,0.8421,0.1053,0.0263,0,0,0,0.0263,0,0,NA,NA,Lisbon,OH,1,0
Columbus College of Art & Design,www.ccad.edu/,NA,0.7174,NA,27000,891,0.3975,0.6655,0.1089,0.0853,0.0393,0,0.0011,0.0438,0.0123,0.0438,0.6008,52581,Columbus,OH,0,1
Columbus State Community College,https://www.cscc.edu/,NA,NA,NA,8749,17128,0.2588,0.4291,0.2421,0.0819,0.0457,0.0043,0.0014,0.034,0.024,0.1376,NA,11788,Columbus,OH,1,1
Cuyahoga Community College District,www.tri-c.edu/,NA,NA,NA,8150,12641,0.3221,0.5208,0.2531,0.0887,0.0307,0.0025,6e-4,0.0356,0.0339,0.0341,NA,11098,Cleveland,OH,1,1
Davis College,www.daviscollege.edu/,NA,NA,NA,21277,95,0.6091,0.2526,0.2632,0.0211,0.0211,0,0,0.0421,0.4,0,NA,28901,Toledo,OH,0,1
Dayton Barber College,www.daytonbarbercollege.edu/,NA,NA,NA,NA,60,0.7196,0.4167,0.4833,0.0667,0,0,0,0,0,0.0333,NA,NA,Miamisburg,OH,0,1
University of Dayton,https://udayton.edu/,1313,0.6165,NA,23250,8099,0.1552,0.7954,0.052,0.0662,0.017,0.001,7e-4,0.034,0.0261,0.0077,0.8007,64310,Dayton,OH,0,1
Defiance College,www.defiance.edu/,NA,0.4243,NA,26813,454,0.4795,0.6278,0.2599,0.0793,0.0066,0.0022,0,0.0154,0,0.0088,0.5,49447,Defiance,OH,0,0
Denison University,https://www.denison.edu/,1395,0.1693,NA,26000,2398,0.128,0.6034,0.0542,0.0713,0.0425,4e-4,4e-4,0.0425,0.171,0.0142,0.8162,76900,Granville,OH,0,1
Edison State Community College,www.edisonohio.edu/,NA,NA,NA,16250,1502,0.1657,0.8449,0.0499,0.032,0.014,0.004,7e-4,0.0393,0.0013,0.014,NA,14142,Piqua,OH,1,0
EHOVE Career Center,www.ehove.net/,NA,NA,NA,7672,375,0.3542,0.7653,0.128,0.0347,0,0,0,0.072,0,0,NA,NA,Milan,OH,1,0
The University of Findlay,findlay.edu/,NA,0.8633,NA,25439,2240,0.1386,0.7455,0.0429,0.0397,0.0121,0.0013,9e-4,0.029,0.0272,0.1013,0.6316,52096,Findlay,OH,0,0
Franklin University,www.franklin.edu/,NA,NA,NA,20836,5111,0.3343,0.5539,0.1884,0.0787,0.0247,0.0063,0.0012,0.0401,0.0027,0.1041,0.2544,29433,Columbus,OH,0,1
Gerbers Akron Beauty School,akronbeautyschool.com/,NA,NA,NA,NA,59,0.1189,0.339,0.4915,0,0.1695,0,0,0,0,0,NA,NA,Akron,OH,0,1
Gods Bible School and College,www.gbs.edu/,NA,0.6403,NA,4522,285,0.2339,0.7333,0.0491,0.0281,0.0035,0.007,0.0105,0.0351,0.1333,0,0.6,16574,Cincinnati,OH,0,1
Good Samaritan College of Nursing and Health Science,www.gscollege.edu/,NA,0.1693,NA,20625,455,0.4324,0.5275,0.2813,0.0637,0.0198,0.0022,0,0,0,0.1055,NA,26345,Cincinnati,OH,0,1
Great Oaks Career Campuses,www.greatoaks.com/,NA,NA,NA,5500,138,0.3066,0.7029,0.1522,0.0217,0.0362,0,0,0.0507,0,0.0362,NA,NA,Cincinnati,OH,1,1
Hannah E Mullins School of Practical Nursing,https://hemspn.edu/,NA,0.5,NA,13000,30,0.5532,0.5333,0.3667,0,0,0,0,0.1,0,0,NA,NA,Salem,OH,1,0
Adult and Community Education-Hudson,https://www.ccsoh.us/site/Default.aspx?PageID=334,NA,1,NA,14750,37,0.7222,0.0811,0.8919,0.027,0,0,0,0,0,0,NA,NA,Columbus,OH,1,1
Heidelberg University,https://www.heidelberg.edu/,NA,0.6773,NA,27000,884,0.2851,0.8213,0.1097,0.0271,0.0045,0.0023,0,0.0215,0,0.0136,0.5846,46640,Tiffin,OH,0,0
Hiram College,www.hiram.edu/,NA,0.9339,NA,27000,731,0.3194,0.4624,0.0588,0.0821,0.0055,0.0027,0,0.0178,0.0082,0.3625,0.5375,38952,Hiram,OH,0,0
Hobart Institute of Welding Technology,www.welding.org/,NA,NA,NA,5500,327,0.2271,0.9083,0.0153,0.0398,0.0031,0.0031,0,0.0306,0,0,NA,NA,Troy,OH,0,0
Hocking College,www.hocking.edu/,NA,NA,NA,11584,1648,0.4649,0.7658,0.1208,0.0249,0.0024,0.0018,0.0012,0.0461,0.0212,0.0158,NA,17575,Nelsonville,OH,1,0
Ross Medical Education Center-Cincinnati,https://rosseducation.edu/,NA,NA,NA,9500,91,0.8824,0.0769,0.1868,0.033,0,0,0,0.022,0.011,0.6703,NA,NA,Cincinnati,OH,0,1
International College of Broadcasting,www.icb.edu/,NA,NA,NA,26250,44,0.7429,0.6136,0.3409,0.0227,0,0,0,0.0227,0,0,NA,24177,Dayton,OH,0,1
Eastern Gateway Community College,www.egcc.edu/,NA,NA,NA,4250,13293,0.2968,0.5131,0.2158,0.1652,0.0268,0.0068,0.0032,0.0553,1e-4,0.0138,NA,8388,Steubenville,OH,1,1
John Carroll University,jcu.edu/,1295,0.811,34,26000,2228,0.1978,0.8299,0.0435,0.0471,0.0292,0.0018,0,0.0296,0.0157,0.0031,0.7589,62943,University Heights,OH,0,1
Hondros College of Nursing,www.hondros.edu/,NA,0.6853,NA,15833,3091,0.7009,0.297,0.5607,0.0181,0.0175,0.0019,0.0013,0,0,0.1035,NA,34050,Westerville,OH,0,1
Casal Aveda Institute,www.casalaveda.com/,NA,NA,NA,7917,93,0.5053,0.7204,0.1613,0.0215,0,0.0108,0,0.0645,0,0.0215,NA,NA,Niles,OH,0,1
Kent State University at Ashtabula,www.kent.edu/ashtabula,NA,NA,NA,24500,1314,0.3444,0.7725,0.0913,0.0472,0.0129,0.0038,0.0023,0.0381,0.0068,0.0251,0.0097,15897,Ashtabula,OH,1,0
Kent State University at East Liverpool,www.kent.edu/columbiana,NA,NA,NA,24500,705,0.2378,0.8128,0.0638,0.0454,0.0099,0.0014,0,0.0454,0.0071,0.0142,0,15070,East Liverpool,OH,1,0
Kent State University at Stark,www.kent.edu/stark,NA,NA,NA,24500,2626,0.2903,0.7909,0.0819,0.043,0.0141,8e-4,8e-4,0.0453,0.0065,0.0168,0.0058,15418,North Canton,OH,1,1
Kent State University at Trumbull,www.kent.edu/trumbull,NA,NA,NA,24500,1648,0.3654,0.7998,0.0856,0.0419,0.0097,0.0012,6e-4,0.037,0.0042,0.02,0.011,16159,Warren,OH,1,0
Kent State University at Tuscarawas,www.kent.edu/tusc,NA,NA,NA,24500,1502,0.3077,0.8302,0.0632,0.0399,0.0126,0.002,0,0.03,0.0047,0.0173,0.0551,16391,New Philadelphia,OH,1,0
Kent State University at Salem,www.kent.edu/columbiana,NA,NA,NA,24500,1127,0.3109,0.819,0.0728,0.0399,0.0089,9e-4,9e-4,0.0337,0,0.024,0.0368,15357,Salem,OH,1,0
Kent State University at Kent,www.kent.edu/,1095,0.8665,28,24500,19134,0.2737,0.746,0.0914,0.0454,0.0233,0.0016,7e-4,0.0407,0.0321,0.0188,0.6877,29345,Kent,OH,1,1
Kent State University at Geauga,www.kent.edu/geauga,NA,NA,NA,24500,1547,0.2669,0.7169,0.1416,0.0556,0.0246,0.0019,0,0.0356,0.0045,0.0194,0.0154,15225,Burton,OH,1,0
Kenyon College,https://www.kenyon.edu/,1440,0.3071,39,18527,1753,0.1008,0.6669,0.0245,0.0759,0.0473,0,6e-4,0.0588,0.1147,0.0114,0.8689,83800,Gambier,OH,0,0
Kettering College,kc.edu/,1120,0.8286,NA,23500,543,0.2419,0.6722,0.0884,0.0387,0.0387,0.0018,0.0037,0.0203,0.1087,0.0276,0.4727,26365,Kettering,OH,0,1
Lake Erie College,www.lec.edu/,1114,0.6412,NA,26000,678,0.29,0.5516,0.1401,0.0885,0.0029,0.0192,0,0.0236,0.0428,0.1313,0.4528,48278,Painesville,OH,0,1
Lakeland Community College,www.lakelandcc.edu/,NA,NA,NA,14751,3143,0.2243,0.6694,0.1476,0.0655,0.0169,0.0038,3e-4,0.0395,0.0016,0.0554,NA,11495,Kirtland,OH,1,1
Collins Career Technical Center,www.collins-cc.edu/,NA,NA,NA,13887,427,0.6818,0.9602,0.0328,0.0047,0,0,0,0.0023,0,0,NA,NA,Chesapeake,OH,1,0
James A. Rhodes State College,www.rhodesstate.edu/,NA,NA,NA,12000,1545,0.1486,0.8155,0.0699,0.0071,0.0078,0.0026,0.0013,0.0395,0,0.0563,NA,13569,Lima,OH,1,0
