INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Phoenix College,6952,0.3501,0.6499,0.2222,0.0928,0.5718,0.0283,0.0214,0.0013,0.0335,0.0121,0.0165,0.2888
Pima Community College,13869,0.4325,0.5675,0.3288,0.0516,0.5198,0.0274,0.0164,0.003,0.0331,0.0069,0.0129,0.3267
Pima Medical Institute-Tucson,2619,0.2138,0.7862,0.3276,0.1027,0.3765,0.0668,0.0221,0.0095,0.084,4e-4,0.0103,0.4846
Pima Medical Institute-Albuquerque,737,0.1872,0.8128,0.1493,0.0204,0.5346,0.019,0.1737,0.0041,0.095,0,0.0041,0.5995
Prescott College,253,0.3597,0.6403,0.6759,0.0316,0.0632,0.0514,0.004,0.004,0.004,0,0.166,0.4728
Refrigeration School Inc,1271,0.8977,0.1023,0.2769,0.1448,0.3674,0.0126,0.1652,0.011,0.0016,0,0.0205,0.6661
Rio Salado College,4879,0.3579,0.6421,0.3958,0.1373,0.337,0.0326,0.0176,0.0035,0.0465,0.0037,0.026,0.073
Roberto-Venn School of Luthiery,15,0.9333,0.0667,0.8667,0.0667,0,0.0667,0,0,0,0,0,0.1957
Scottsdale Community College,4274,0.4364,0.5636,0.4871,0.0442,0.2983,0.0325,0.0487,7e-4,0.0559,0.0112,0.0213,0.1358
South Mountain Community College,2612,0.4085,0.5915,0.1524,0.1436,0.5674,0.0214,0.0436,0.0015,0.041,0.005,0.0241,0.2736
Arizona Christian University,1127,0.5901,0.4099,0.4845,0.1118,0.2671,0.0115,0.008,0.0115,0.0736,0.0275,0.0044,0.3318
Universal Technical Institute of Arizona Inc,1791,0.9369,0.0631,0.3674,0.0318,0.3685,0.0313,0.0419,0.0262,0.1106,0,0.0223,0.4444
Yavapai College,3732,0.4191,0.5809,0.6109,0.0158,0.2337,0.0134,0.0263,0.0048,0.0399,0.0048,0.0504,0.1949
University of Arkansas at Little Rock,4740,0.361,0.639,0.5,0.2618,0.0304,0.0194,0.0089,2e-4,0.143,0.0287,0.0076,0.4105
University of Arkansas for Medical Sciences,1361,0.1602,0.8398,0.6032,0.1058,0.0992,0.0852,0.0044,0.0022,0.0397,0.0081,0.0522,0.2694
Arkansas Baptist College,373,0.7373,0.2627,0.0107,0.9115,0.0456,0,0.0027,0,0.0161,0.008,0.0054,0.4597
Arkansas Beauty School-Little Rock,111,0.009,0.991,0.045,0.8649,0.0901,0,0,0,0,0,0,0.5714
Arkansas Beauty College,56,0,1,0.6607,0.1429,0.125,0.0357,0,0,0.0357,0,0,0.6226
Lyon College,563,0.5702,0.4298,0.4671,0.087,0.0799,0.0142,0.0036,0,0.0195,0.0515,0.2771,0.3596
Arkansas Technical School,111,0.5766,0.4234,0.1622,0.8108,0.018,0,0,0,0.009,0,0,0.6286
University of Arkansas,27312,0.4404,0.5596,0.7456,0.0395,0.1097,0.0286,0.0082,0.0016,0.0462,0.0122,0.0083,0.173
University of Arkansas at Pine Bluff,1899,0.4471,0.5529,0.0258,0.8994,0.0258,0.0026,0.0042,0.0032,0.0195,0.0195,0,0.6687
Arkansas State University-Beebe,1902,0.3591,0.6409,0.8207,0.0557,0.0678,0.0042,0.0068,0.0016,0.0384,5e-4,0.0042,0.3289
Arkansas State University,7994,0.3787,0.6213,0.6709,0.1454,0.0494,0.0099,0.0029,6e-4,0.0345,0.0781,0.0084,0.3679
Arkansas Tech University,5993,0.4228,0.5772,0.7187,0.0641,0.1178,0.0185,0.008,5e-4,0.0499,0.0225,0,0.3375
University of Arkansas at Monticello,1868,0.3983,0.6017,0.5418,0.3003,0.0889,0.0016,0.0027,0.0016,0.0562,0.007,0,0.4938
Arthur's Beauty College,47,0.0213,0.9787,0.7872,0.1915,0.0213,0,0,0,0,0,0,0.7885
Baptist Health College Little Rock,512,0.1074,0.8926,0.6035,0.291,0.0527,0.0078,0.002,0.002,0.0371,0.002,0.002,0.3898
Black River Technical College,938,0.3529,0.6471,0.8902,0.0235,0.0373,0.0032,0.0011,0.0021,0.0288,0,0.0139,0.4036
University of Central Arkansas,7426,0.3828,0.6172,0.6476,0.1673,0.0768,0.0221,0.0031,0.0012,0.0498,0.0306,0.0016,0.3734
Central Baptist College,477,0.5639,0.4361,0.5765,0.1698,0.0964,0.0042,0.0063,0.0021,0.0482,0.0755,0.021,0.422
Cossatot Community College of the University of Arkansas,835,0.3257,0.6743,0.4563,0.1485,0.309,0.0036,0.0132,0.0012,0.0683,0,0,0.3529
Crowley's Ridge College,162,0.4938,0.5062,0.7963,0.179,0.0185,0,0.0062,0,0,0,0,0.48
East Arkansas Community College,492,0.3171,0.6829,0.4431,0.4553,0.0203,0.0041,0.0081,0.0081,0.0407,0.0122,0.0081,0.2689
Paul Mitchell the School-Little Rock,411,0.0584,0.9416,0.5012,0.2798,0.0438,0.0073,0.0438,0,0.0633,0,0.0608,0.5844
National Park College,1706,0.3769,0.6231,0.7978,0.1084,0.0651,0.0135,0.0094,0.0041,0,0,0.0018,0.4679
University of Arkansas Community College-Batesville,788,0.2982,0.7018,0.7855,0.0266,0.0926,0.0051,0.0102,0.0013,0.0698,0.0089,0,0.4494
Harding University,3323,0.4544,0.5456,0.7969,0.0503,0.0445,0.0135,0.0048,9e-4,0.037,0.0518,3e-4,0.1922
Henderson State University,1491,0.4735,0.5265,0.5889,0.2696,0.0698,0.0107,0.0087,0.002,0.0215,0.0268,0.002,0.477
Hendrix College,1094,0.4973,0.5027,0.6956,0.0704,0.0905,0.0411,0.0082,0.0027,0.0475,0.0192,0.0247,0.2341
Hot Springs Beauty College,92,0.0435,0.9565,0.663,0.1848,0.087,0,0,0,0.0652,0,0,0.6462
Jefferson Regional School of Nursing,80,0.175,0.825,0.6875,0.275,0.0375,0,0,0,0,0,0,0.5826
John Brown University,1415,0.4247,0.5753,0.6848,0.0113,0.1187,0.0177,0.012,0.0021,0.0608,0.0912,0.0014,0.2138
Career Academy of Hair Design,244,0.0164,0.9836,0.6107,0.0779,0.1926,0,0.0943,0.0041,0.0164,0,0.0041,0.6514
Academy of Salon and Spa,81,0.0247,0.9753,0.6667,0.0494,0.1605,0.0247,0.0617,0,0.0247,0,0.0123,0.6423
Arkansas State University Mid-South,435,0.3862,0.6138,0.3264,0.5701,0.0414,0,0.0046,0,0.0391,0.0138,0.0046,0.3565
Arkansas Northeastern College,787,0.2973,0.7027,0.5654,0.3418,0.0648,0.0025,0.0025,0.0013,0.0038,0,0.0178,0.2349
New Tyler Barber College Inc,58,0.6379,0.3621,0.0345,0.9655,0,0,0,0,0,0,0,0.7797
North Arkansas College,1184,0.3666,0.6334,0.815,0.0169,0.0921,0.0051,0.0042,0.0017,0.0422,0.0068,0.016,0.361
Northwest Technical Institute,217,0.7281,0.2719,0.5253,0.0092,0.3779,0.0138,0.023,0.0507,0,0,0,0.6219
Ouachita Baptist University,1612,0.4342,0.5658,0.8158,0.0577,0.0596,0.0081,0.0031,6e-4,0.0354,0.0199,0,0.226
Arkansas State University Three Rivers,514,0.356,0.644,0.6595,0.2451,0.0506,0.0039,0.0195,0.0039,0.0156,0.0019,0,0.1392
Ozarka College,564,0.2872,0.7128,0.9362,0.0142,0.0337,0.0018,0.0142,0,0,0,0,0.469
University of the Ozarks,753,0.4449,0.5551,0.4329,0.0584,0.1514,0.0106,0.008,0.0066,0.0412,0.2749,0.0159,0.3597
