INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Lee College,5118,0.5621,0.4379,0.312,0.1706,0.4543,0.0135,0.0031,0,0.0254,0.0055,0.0156,0.3157
LeTourneau University,1510,0.6325,0.3675,0.7185,0.0517,0.053,0.0219,0.0126,7e-4,0.0583,0.0497,0.0338,0.134
Lincoln College of Technology-Grand Prairie,1330,0.9135,0.0865,0.2053,0.2263,0.4985,0.0128,0.003,0.0023,0.0278,0,0.0241,0.5938
Lubbock Christian University,1210,0.3942,0.6058,0.595,0.0512,0.2595,0.0074,0.0041,0.0017,0.0149,0.0421,0.024,0.3306
College of the Mainland,3342,0.3749,0.6251,0.3471,0.1691,0.4037,0.0221,0.0048,9e-4,0.0302,6e-4,0.0215,0.2764
University of Mary Hardin-Baylor,2959,0.3758,0.6242,0.5049,0.1352,0.2761,0.0152,0.003,0.0027,0.023,0.0084,0.0314,0.3685
McLennan Community College,4997,0.301,0.699,0.4032,0.1463,0.3796,0.0162,0.004,0.002,0.0334,0.0022,0.013,0.3904
McMurry University,1108,0.5307,0.4693,0.4332,0.1426,0.3457,0.0126,0.0135,0.0018,0.0099,0.0199,0.0208,0.4492
Covenant School of Nursing and Allied Health,333,0.1712,0.8288,0.4084,0.0511,0.3514,0.0541,0,0.003,0.021,0,0.1111,0.4187
Midland College,5020,0.4034,0.5966,0.2616,0.0556,0.5984,0.0177,0.003,4e-4,0.0179,0.0259,0.0195,0.1919
Midwestern State University,4043,0.3656,0.6344,0.4316,0.1551,0.2582,0.0349,0.0111,0.0017,0.0416,0.0433,0.0225,0.4004
William Edge Institute,40,0,1,0.525,0,0.425,0.025,0.025,0,0,0,0,0.274
Wade College,205,0.1902,0.8098,0.2293,0.3659,0.3073,0.0537,0.0049,0.0049,0.0146,0,0.0195,0.6815
Southern Careers Institute-Austin,1079,0.405,0.595,0.2892,0.2363,0.3781,0.0083,0.0056,0.0046,0.038,0,0.0399,0.6536
Tint School of Makeup & Cosmetology,108,0.0185,0.9815,0.0833,0.4167,0.3426,0.1111,0,0,0,0.037,0.0093,0.5584
Navarro College,3959,0.3685,0.6315,0.4991,0.2021,0.2316,0.0086,0.0043,0.0048,0.0356,0.0109,0.003,0.3177
Lone Star College System,47486,0.4081,0.5919,0.237,0.1431,0.4534,0.0656,0.002,0,0.0357,0.0434,0.0197,0.2308
University of North Texas,33680,0.4577,0.5423,0.3591,0.1617,0.2988,0.0808,0.0031,9e-4,0.0445,0.0387,0.0125,0.3608
Northeast Texas Community College,1964,0.3289,0.6711,0.4542,0.1415,0.3422,0.0087,0.0061,5e-4,0.0234,0.0193,0.0041,0.4936
Ocean Corporation,195,0.9333,0.0667,0.5795,0.1436,0.1897,0.0051,0,0,0.0821,0,0,0.4701
Odessa College,4176,0.3501,0.6499,0.2021,0.0601,0.6928,0.0108,0.0043,5e-4,0,0.0012,0.0283,0.2553
Ogle School Hair Skin Nails-Arlington,319,0.0251,0.9749,0.2038,0.4326,0.2884,0.0031,0.0031,0,0.0564,0,0.0125,0.691
Ogle School Hair Skin Nails-Ft Worth,447,0.0157,0.9843,0.3624,0.2237,0.3378,0.0067,0.0045,0.0045,0.0425,0,0.0179,0.671
Our Lady of the Lake University,1110,0.3306,0.6694,0.0775,0.0694,0.7432,0.0045,0,0,0,0.0315,0.0739,0.5749
The University of Texas Rio Grande Valley,27026,0.416,0.584,0.0192,0.005,0.9375,0.0108,4e-4,2e-4,0.0015,0.0167,0.0087,0.6376
Texas Southmost College,3453,0.4425,0.5575,0.0243,9e-4,0.9354,0.0026,6e-4,0,0.0012,0.0035,0.0316,0.3138
Panola College,1378,0.2758,0.7242,0.5435,0.1945,0.1996,0.0073,0.0051,0,0.0261,0.0239,0,0.3198
Paris Junior College,2265,0.3801,0.6199,0.5974,0.1015,0.223,0.0084,0.0146,0.0013,0.0389,0.0093,0.0057,0.2259
Paul Quinn College,600,0.3667,0.6333,0.0617,0.6867,0.1583,0.0083,0,0.0083,0.0567,0.0083,0.0117,0.6976
Prairie View A & M University,8527,0.3305,0.6695,0.0124,0.8519,0.0742,0.0081,0.0014,7e-4,0.0349,0.0077,0.0086,0.6244
Ranger College,935,0.4353,0.5647,0.4567,0.077,0.3658,0.0032,0.0021,0,0.0406,0.0524,0.0021,0.1766
Aviation Institute of Maintenance-Houston,281,0.9039,0.0961,0.2135,0.1922,0.3843,0.1708,0,0,0.0356,0,0.0036,0.664
Rice University,4562,0.5088,0.4912,0.2648,0.0824,0.1611,0.295,0.0013,9e-4,0.052,0.1247,0.0178,0.1607
Saint Edward's University,2729,0.4016,0.5984,0.284,0.0322,0.5526,0.0238,0.004,7e-4,0.0257,0.066,0.011,0.3947
St Philip's College,10772,0.4132,0.5868,0.1503,0.1002,0.6842,0.0224,0.0022,0.0011,0.0335,0.0014,0.0047,0.2137
University of St Thomas,2826,0.4101,0.5899,0.172,0.1196,0.5354,0.1001,0.0014,0.0014,0.0156,0.0389,0.0156,0.3792
Sam Houston State University,18138,0.3709,0.6291,0.4621,0.1743,0.281,0.0213,0.0077,0.001,0.0342,0.0076,0.011,0.3985
San Antonio College,16067,0.3917,0.6083,0.1656,0.074,0.6953,0.0248,0.0022,8e-4,0.0311,0.0049,0.0013,0.3369
San Jacinto Community College,23071,0.4091,0.5909,0.1698,0.0869,0.6369,0.0472,0.0017,8e-4,0.0199,0.024,0.0128,0.303
Schreiner University,1028,0.463,0.537,0.4874,0.0564,0.3988,0.0107,0.0039,0.0029,0.0311,0.0088,0,0.4381
Seguin Beauty School-Seguin,26,0.0385,0.9615,0.3846,0,0.5769,0.0385,0,0,0,0,0,0.4507
St. Mary's University,1911,0.4071,0.5929,0.1183,0.0235,0.5484,0.0167,0.0078,0.0026,0.012,0.0853,0.1852,0.4203
South Plains College,6124,0.3893,0.6107,0.3444,0.0735,0.542,0.0206,0.0134,0.0023,0,0.0026,0.0013,0.4002
South Texas Barber College Inc,23,0.7826,0.2174,0,0,0,0,0,0,0,1,0,0.8214
South Texas Vocational Technical Institute-Weslaco,263,0.5247,0.4753,0.0114,0.0152,0.9316,0.0038,0.0038,0.0266,0.0076,0,0,0.8413
Miller-Motte College-STVT-McAllen,496,0.4294,0.5706,0.1956,0.002,0.7722,0,0,0,0.0282,0,0.002,0.7439
Southern Methodist University,7106,0.4894,0.5106,0.5835,0.0536,0.1637,0.0813,0.0037,0.0011,0.0474,0.0362,0.0296,0.1186
Southwest School of Business and Technical Careers-San Antonio,22,0.2273,0.7727,0,0.0455,0.9545,0,0,0,0,0,0,0.9535
Southwest Texas Junior College,3170,0.3782,0.6218,0.0558,0.0038,0.9199,0.006,0.0073,6e-4,0.0016,0,0.005,0.3563
Southwestern Assemblies of God University,1366,0.4963,0.5037,0.5117,0.1186,0.2679,0.011,0.0278,0.0037,0.0461,0.0124,7e-4,0.495
Southwestern University,1454,0.4505,0.5495,0.5406,0.0591,0.2834,0.0413,0.0021,0.0014,0.0475,0.0193,0.0055,0.2313
Stephen F Austin State University,8746,0.3717,0.6283,0.5659,0.1199,0.2323,0.0126,0.0049,3e-4,0.0418,0.0072,0.015,0.3679
Texas State University,34547,0.3997,0.6003,0.3917,0.0942,0.422,0.027,0.0027,9e-4,0.0319,0.0082,0.0214,0.3615
Southwestern Adventist University,574,0.4582,0.5418,0.2073,0.1115,0.5209,0.054,0.0052,0.0105,0.0418,0.0436,0.0052,0.3885
Southwestern Christian College,128,0.4219,0.5781,0,0.9063,0.0313,0,0.0078,0.0078,0.0469,0,0,0.9057
Sul Ross State University,1378,0.4412,0.5588,0.2003,0.066,0.6945,0.0044,0.0051,0.0015,0.0167,0.0022,0.0094,0.5161
Tarleton State University,12263,0.3737,0.6263,0.6374,0.0616,0.2344,0.0104,0.0072,0.0011,0.0323,0.0066,0.009,0.3711
Tarrant County College District,40214,0.4229,0.5771,0.2591,0.165,0.3655,0.0662,0.0033,0.0014,0.037,0.0126,0.0899,0.2749
Temple College,3168,0.3308,0.6692,0.3744,0.1714,0.3333,0.0199,0.0035,0.0051,0.0603,0,0.0322,0.4047
The University of Texas Health Science Center at San Antonio,864,0.2847,0.7153,0.2234,0.0556,0.5984,0.0822,0.0035,0.0023,0.0255,0.0035,0.0058,0.3516
The University of Texas Medical Branch at Galveston,559,0.1807,0.8193,0.2826,0.1002,0.288,0.2308,0.0018,0.0036,0.0698,0.0089,0.0143,0.2051
Texarkana College,1609,0.3288,0.6712,0.5301,0.3033,0.0932,0.0081,0.0044,0.0025,0.0354,0.0162,0.0068,0.2826
Texas A & M University-Kingsville,4622,0.4996,0.5004,0.1534,0.0409,0.7648,0.0058,0.0015,0.0013,0.0106,0.0203,0.0013,0.5455
Texas A & M University-College Station,59099,0.5294,0.4706,0.5408,0.0233,0.2543,0.1259,0.0023,3e-4,0.0381,0.0111,0.0039,0.1923
The University of Texas at Arlington,30834,0.4077,0.5923,0.2316,0.1449,0.3945,0.1432,0.0015,5e-4,0.0375,0.0383,0.008,0.3958
The University of Texas at Austin,42100,0.4205,0.5795,0.3157,0.0467,0.2828,0.2537,0.0012,7e-4,0.0409,0.043,0.0154,0.2511
The University of Texas at Dallas,21317,0.5654,0.4346,0.2234,0.0576,0.1807,0.422,0.0015,4e-4,0.0397,0.0437,0.0311,0.2973
The University of Texas at El Paso,20547,0.4556,0.5444,0.0375,0.0181,0.8774,0.0068,0.0016,0.001,0.0068,0.0373,0.0135,0.606
The University of Texas at Tyler,7009,0.3932,0.6068,0.5025,0.1131,0.2679,0.0407,0.0043,4e-4,0.0387,0.0198,0.0126,0.3796
Texas Christian University,10919,0.3795,0.6205,0.6413,0.0408,0.1811,0.0242,0.0023,0.0012,0.0436,0.0452,0.0204,0.1347
Texas College,644,0.6522,0.3478,0.0311,0.823,0.1009,0.0031,0.0016,0,0,0.0248,0.0155,0.8536
University of North Texas Health Science Center,17,0.2941,0.7059,0.1765,0.2353,0.2941,0.1176,0,0,0.1765,0,0,NA
Texas Lutheran University,1260,0.4651,0.5349,0.3905,0.1254,0.4103,0.019,0.0032,8e-4,0.0405,0.0032,0.0071,0.3763
The University of Texas Permian Basin,4122,0.3857,0.6143,0.2579,0.0767,0.5378,0.0175,0.0032,0.0022,0.0243,0.0665,0.0141,0.356
The University of Texas at San Antonio,29675,0.4782,0.5218,0.1882,0.0801,0.6123,0.0579,0.0011,0.0016,0.0345,0.0125,0.0119,0.4225
Texas Southern University,6619,0.3387,0.6613,0.0079,0.8583,0.0733,0.0079,0.0018,5e-4,0.0338,0.0118,0.0048,0.713
Texas Tech University,32446,0.5038,0.4962,0.5323,0.0607,0.2965,0.0331,0.0035,9e-4,0.0437,0.0178,0.0116,0.2575
Texas Wesleyan University,1671,0.4536,0.5464,0.3285,0.2256,0.2753,0.015,0.015,6e-4,0.0467,0.0802,0.0132,0.4114
Texas Woman's University,8804,0.0875,0.9125,0.2719,0.1878,0.3827,0.0927,0.0032,7e-4,0.035,0.0123,0.0139,0.4045
Trinity University,2518,0.4635,0.5365,0.5238,0.0429,0.247,0.077,0.0012,4e-4,0.052,0.0469,0.0087,0.164
The University of Texas Health Science Center at Houston,460,0.1413,0.8587,0.187,0.1239,0.3326,0.2913,0,0.0022,0.037,0.013,0.013,0.426
Texas Tech University Health Sciences Center,1374,0.1325,0.8675,0.4985,0.0888,0.3319,0.0633,0.0116,0,0,7e-4,0.0051,0.143
Tyler Junior College,9065,0.365,0.635,0.4484,0.1724,0.2757,0.0116,0.0038,9e-4,0.0499,0.0185,0.0189,0.3562
Universal Technical Institute of Texas Inc.,1823,0.9347,0.0653,0.2046,0.1574,0.5112,0.0176,0.006,5e-4,0.0455,0.0011,0.056,0.5586
UCAS University of Cosmetology Arts & Sciences-McAllen,92,0,1,0.0217,0,0.9674,0,0,0.0109,0,0,0,0.9386
Vernon College,1656,0.3508,0.6492,0.5302,0.0707,0.2935,0.0242,0.0079,0.0036,0.035,0.0042,0.0308,0.3824
Victoria Beauty & Barber College,64,0.0625,0.9375,0.25,0.125,0.4688,0,0.0156,0,0.1406,0,0,0.6276
Victoria College,2385,0.3094,0.6906,0.2994,0.0616,0.5841,0.0184,0.0029,4e-4,0.0159,0.0055,0.0117,0.3342
Vogue College of Cosmetology-McAllen,336,0.0298,0.9702,0.1042,0.0446,0.8185,0,0,0,0.0208,0.0089,0.003,0.7402
Wayland Baptist University,2090,0.4914,0.5086,0.3081,0.1809,0.3215,0.0321,0.0115,0.0263,0.0258,0.0244,0.0694,0.3952
Weatherford College,3961,0.3315,0.6685,0.6122,0.0318,0.2366,0.0151,0.0061,0.002,0.0321,5e-4,0.0636,0.1943
West Texas A & M University,6771,0.4146,0.5854,0.5131,0.0393,0.3438,0.0182,0.0062,0.0016,0.0253,0.0167,0.0359,0.3933
Western Texas College,486,0.5782,0.4218,0.2901,0.0761,0.4835,0.0062,0.0041,0,0.0247,0.1152,0,0.0783
Wharton County Junior College,4832,0.4282,0.5718,0.2461,0.1269,0.4599,0.1496,0.0023,0.0012,0.013,0,0.001,0.2652
Wiley University,636,0.4701,0.5299,0.0645,0.8428,0.0377,0.0031,0.0079,0.0079,0,0.022,0.0142,0.7708
Bridgerland Technical College,1441,0.6114,0.3886,0.8119,0.0097,0.1312,0.0076,0.0042,0.0035,0.0153,0,0.0167,0.1004
Brigham Young University,32221,0.4804,0.5196,0.8068,0.0039,0.08,0.0167,0.0019,0.0061,0.0435,0.0279,0.0132,0.3229
Brigham Young University-Hawaii,2812,0.42,0.58,0.2027,0.0032,0.0697,0.0846,0.0018,0.058,0.0935,0.4822,0.0043,0.2969
Cameo College of Essential Beauty,277,0.0181,0.9819,0.4693,0.0289,0.426,0.0433,0.0108,0.0072,0,0.0036,0.0108,0.3248
Collectiv Academy,81,0,1,0.6914,0.0123,0.2099,0.0123,0.0123,0,0.0617,0,0,0.5221
Davis Technical College,2617,0.5908,0.4092,0.7165,0.0153,0.1739,0.0141,0.0138,0.0065,0.0287,0,0.0313,0.0929
Utah Tech University,8320,0.4071,0.5929,0.7452,0.0172,0.1371,0.0125,0.0073,0.0114,0.0458,0.0184,0.005,0.223
Evans Hairstyling College-Cedar City,64,0.0313,0.9688,0.8281,0,0.1094,0,0.0156,0.0156,0.0313,0,0,0.3333
Evans Hairstyling College-St George,57,0.0351,0.9649,0.9123,0.0175,0.0702,0,0,0,0,0,0,0.2759
Paul Mitchell the School-Salt Lake City,289,0.1557,0.8443,0.6263,0.0277,0.2249,0.0104,0.0035,0.0138,0.0311,0.0035,0.0588,0.4218
Eagle Gate College-Murray,252,0.131,0.869,0.4762,0.0635,0.2024,0.0476,0.0198,0.0278,0.0119,0,0.1508,0.4828
Ensign College,5969,0.4999,0.5001,0.1124,0.0034,0.0163,0.0023,5e-4,0.0018,0.0064,0.1345,0.7224,0.1134
Ogden-Weber Technical College,2053,0.5528,0.4472,0.6391,0.018,0.2898,0.0132,0.0039,0.0029,0.0253,0,0.0078,0.1053
Snow College,3552,0.4673,0.5327,0.7117,0.0296,0.1312,0.0034,0.0053,0.0107,0.0282,0.0777,0.0023,0.2088
Southern Utah University,9533,0.439,0.561,0.7344,0.0199,0.0865,0.0138,0.0095,0.0086,0.0097,0.0517,0.0658,0.2421
Uintah Basin Technical College,324,0.6142,0.3858,0.8117,0.0093,0.108,0.0062,0.0617,0,0.0031,0,0,0.0101
Utah State University,20342,0.4552,0.5448,0.8172,0.0068,0.066,0.0078,0.0148,0.0032,0.0272,0.0065,0.0504,0.2569
Utah Valley University,27481,0.517,0.483,0.7701,0.0107,0.1334,0.0144,0.0042,0.0077,0.0369,0.0114,0.0113,0.2337
Salt Lake Community College,17247,0.4557,0.5443,0.5867,0.03,0.2555,0.0379,0.0076,0.011,0.0409,0.0171,0.0135,0.162
University of Utah,26041,0.5165,0.4835,0.6318,0.0129,0.1409,0.0616,0.0036,0.004,0.0605,0.0588,0.0258,0.201
Weber State University,15619,0.4142,0.5858,0.7163,0.0209,0.1417,0.0192,0.0055,0.006,0.0389,0.0229,0.0286,0.1642
Westminster University,882,0.3991,0.6009,0.6723,0.0204,0.1406,0.0329,0.0023,0.0159,0.0408,0.0476,0.0272,0.2508
Bennington College,759,0.3175,0.6825,0.6311,0.0343,0.1054,0.0171,0.0026,0,0.0514,0.1357,0.0224,0.2124
Champlain College,2870,0.6167,0.3833,0.6944,0.0631,0.0965,0.0408,0.0038,3e-4,0.0425,0.0021,0.0564,0.2314
Community College of Vermont,3093,0.2645,0.7355,0.8277,0.0336,0.0404,0.0213,0.0045,6e-4,0.0459,0.0045,0.0213,0.2818
Goddard College,113,0.3274,0.6726,0.5929,0.0796,0.0354,0,0.0177,0,0.115,0,0.1593,0.5268
Middlebury College,2785,0.4675,0.5325,0.5555,0.0564,0.1174,0.0783,4e-4,0,0.0747,0.1095,0.0079,0.1673
Norwich University,2490,0.7189,0.2811,0.6763,0.045,0.1004,0.0273,0.0044,0.0012,0.0594,0.0574,0.0285,0.2445
O'Briens Aveda Institute,85,0.0353,0.9647,0.9412,0.0118,0.0118,0.0118,0,0,0.0235,0,0,0.3286
Saint Michael's College,1157,0.4572,0.5428,0.8168,0.0346,0.0622,0.0138,0.0035,0,0.0285,0.0389,0.0017,0.177
SIT Graduate Institute,0,0,0,0,0,0,0,0,0,0,0,0,NA
Sterling College,66,0.4545,0.5455,0.7273,0,0.0455,0.0303,0,0,0.1061,0.0606,0.0303,0.3465
Vermont State University,3567,0.4357,0.5643,0.7796,0.0449,0.0479,0.0151,0.0042,8e-4,0.0348,0.0297,0.0429,0.3148
University of Vermont,11614,0.3635,0.6365,0.8353,0.0081,0.0536,0.0266,4e-4,1e-4,0.0401,0.0094,0.0264,0.1283
Paul Mitchell the School-Roanoke,73,0.0411,0.9589,0.4932,0.2192,0.0137,0.0274,0,0,0.1233,0,0.1233,0.589
Advanced Technology Institute,377,0.9045,0.0955,0.443,0.3316,0.1273,0.0159,0.0106,0.008,0.0531,0.0027,0.008,0.3551
Averett University,1162,0.5,0.5,0.4897,0.2728,0.0542,0.012,0.006,0.0034,0.0499,0.0904,0.0215,0.3904
Blue Ridge Community College,2677,0.4057,0.5943,0.6477,0.0616,0.1547,0.025,0.0037,4e-4,0.0355,0.0187,0.0527,0.3346
Bluefield University,683,0.5505,0.4495,0.593,0.1977,0.06,0.0059,0.0073,0.0015,0.0176,0.0176,0.0996,0.4567
Bridgewater College,1388,0.5086,0.4914,0.6664,0.116,0.0785,0.013,0.0036,7e-4,0.0512,0.0331,0.0375,0.2939
William & Mary,6949,0.4103,0.5897,0.6074,0.0587,0.0888,0.1163,7e-4,4e-4,0.0668,0.0389,0.022,0.1208
Regent University,4282,0.3865,0.6135,0.4435,0.2522,0.1177,0.0161,0.0072,0.0054,0.0432,0.0056,0.1091,0.48
Central School of Practical Nursing,24,0,1,0.2917,0.625,0.0833,0,0,0,0,0,0,0.2973
Central Virginia Community College,2144,0.4202,0.5798,0.5798,0.2402,0.0583,0.0135,0.0056,5e-4,0.0714,0.0075,0.0233,0.3312
Christopher Newport University,4402,0.4782,0.5218,0.7213,0.0852,0.0822,0.0416,0.0011,9e-4,0.0545,0.0025,0.0107,0.1457
Bryant & Stratton College-Virginia Beach,1327,0.162,0.838,0.2555,0.5712,0.0708,0.0188,0.0023,0.0038,0.0648,8e-4,0.0121,0.6187
Mountain Gateway Community College,457,0.4026,0.5974,0.7746,0.0722,0.0569,0.0066,0.0153,0,0.0503,0,0.0241,0.2442
Danville Community College,1371,0.3735,0.6265,0.515,0.3611,0.0686,0.0051,7e-4,7e-4,0.0284,0.0036,0.0168,0.3659
Centura College-Virginia Beach,8,0.625,0.375,0.375,0.5,0,0,0,0,0.125,0,0,0.7064
Emory & Henry University,1107,0.4607,0.5393,0.6784,0.121,0.0361,0.0099,0.0045,0.0027,0.0352,0.0343,0.0777,0.4085
Eastern Mennonite University,800,0.4125,0.5875,0.5625,0.1325,0.1175,0.0275,0.0013,0.0013,0.0388,0.0538,0.065,0.2691
Eastern Shore Community College,433,0.3557,0.6443,0.3649,0.3233,0.1986,0.0069,0.0046,0.0023,0.037,0.0277,0.0346,0.3663
Ferrum College,745,0.6201,0.3799,0.4792,0.2148,0.0698,0.0054,0.0013,0,0.0497,0.0121,0.1678,0.4651
George Mason University,27083,0.51,0.49,0.3295,0.1234,0.1744,0.2357,0.0011,9e-4,0.0561,0.0473,0.0316,0.2951
Germanna Community College,5469,0.3637,0.6363,0.484,0.1867,0.1781,0.043,0.0027,0.0015,0.0653,0.0073,0.0314,0.2512
Hampden-Sydney College,876,0.9989,0.0011,0.7785,0.0822,0.0639,0.008,0.0011,0.0011,0.0491,0.0057,0.0103,0.22
Hampton University,3254,0.323,0.677,0.0037,0.9757,0.0046,6e-4,0.0015,3e-4,0,0.012,0.0015,0.3806
Hollins University,673,0,1,0.6048,0.1486,0.1025,0.0208,0.003,0.0015,0.049,0.0624,0.0074,0.3314
J Sargeant Reynolds Community College,5284,0.3908,0.6092,0.4101,0.31,0.1026,0.0659,0.0032,0.0025,0.0484,0.0335,0.0238,0.3004
James Madison University,20497,0.4307,0.5693,0.7455,0.0447,0.0787,0.0494,0.0012,0.0013,0.0513,0.0071,0.0208,0.1683
Brightpoint Community College,5548,0.425,0.575,0.4771,0.2385,0.1518,0.036,0.0036,9e-4,0.0506,0.0119,0.0296,0.2138
Liberty University,50059,0.4457,0.5543,0.576,0.0983,0.0744,0.0173,0.004,0.0023,0.0414,0.0085,0.1777,0.3908
Longwood University,2957,0.303,0.697,0.7169,0.1038,0.0727,0.0162,0.0017,3e-4,0.0524,0.0169,0.0189,0.26
Laurel Ridge Community College,3167,0.353,0.647,0.6435,0.0619,0.1696,0.0221,0.0038,3e-4,0.0445,0.0155,0.0388,0.1788
University of Lynchburg,1599,0.3809,0.6191,0.5891,0.0932,0.0744,0.0163,0.0025,0.0019,0.0463,0.0694,0.1069,0.2731
Centra College,212,0.1132,0.8868,0.6698,0.1321,0.0236,0.0142,0,0,0.066,0,0.0943,0.4367
Mary Baldwin University,1188,0.2416,0.7584,0.4966,0.2626,0.0842,0.0168,0.0025,8e-4,0.0564,0.0101,0.0699,0.4833
University of Mary Washington,3504,0.3716,0.6284,0.5976,0.0799,0.1333,0.0479,0.0017,0,0.0519,0.0217,0.0659,0.2024
Marymount University,1795,0.3877,0.6123,0.2969,0.1471,0.2641,0.0719,0,0.0011,0.0479,0.1192,0.0518,0.2211
Sovah School of Health Professions,20,0.1,0.9,0.9,0,0.1,0,0,0,0,0,0,0.3043
Mountain Empire Community College,1240,0.3855,0.6145,0.9185,0.0226,0.0258,0.0032,8e-4,0,0.0234,0,0.0056,0.4149
American National University,643,0.1866,0.8134,0.437,0.3841,0.0218,0.0886,0.0187,0.0047,0.0311,0,0.014,0.7147
New River Community College,1917,0.5055,0.4945,0.8039,0.0522,0.0496,0.0115,0.0037,0,0.0339,0.0172,0.0282,0.2085
Sentara College of Health Sciences,239,0.0502,0.9498,0.6234,0.1297,0.0711,0.1088,0,0.0042,0.0544,0,0.0084,0.3449
Tidewater Tech-Trades,514,0.8755,0.1245,0.2607,0.5409,0.0895,0.0156,0.0136,0.0058,0.0739,0,0,0.6872
Norfolk State University,5495,0.3301,0.6699,0.0198,0.8422,0.0508,0.002,0.0015,0,0.0575,0.0153,0.0109,0.6219
Northern Virginia Community College,31737,0.4886,0.5114,0.263,0.1523,0.2947,0.1505,0.002,0.0021,0.0435,0.0512,0.0408,0.1986
Old Dominion University,17521,0.4564,0.5436,0.4136,0.3225,0.1064,0.0536,0.0021,0.0027,0.0697,0.0118,0.0178,0.3694
Patrick & Henry Community College,1411,0.4592,0.5408,0.5322,0.2459,0.1269,0.0064,7e-4,7e-4,0.0461,0.0184,0.0227,0.4584
Paul D Camp Community College,605,0.3421,0.6579,0.4231,0.4744,0.0413,0.0066,0.0066,0.0017,0.0248,0.0033,0.0182,0.2727
Southside College of Health Sciences,91,0.0769,0.9231,0.6703,0.2198,0.011,0.022,0.044,0,0.022,0,0.011,0.3107
Piedmont Virginia Community College,3032,0.3971,0.6029,0.5577,0.16,0.1247,0.0445,0.0033,0.0013,0.0524,0.0122,0.0439,0.2539
Radford University,5609,0.351,0.649,0.6641,0.1433,0.0838,0.0164,0.0023,9e-4,0.0533,0.0082,0.0276,0.3537
Sylvain Melloul International Hair Academy,153,0.1503,0.8497,0.4902,0.4052,0.085,0.0131,0,0,0.0065,0,0,0.6083
Randolph-Macon College,1489,0.4627,0.5373,0.7448,0.0873,0.0551,0.0255,0.0013,7e-4,0.0598,0.0114,0.0141,0.202
Randolph College,520,0.3981,0.6019,0.5712,0.2115,0.1077,0.0269,0.0058,0.0038,0.0346,0.0385,0,0.4059
Rappahannock Community College,1318,0.327,0.673,0.6062,0.22,0.0622,0.0114,0.0076,8e-4,0.0615,0.0068,0.0235,0.2489
Fortis College-Norfolk,431,0.0557,0.9443,0.0835,0.7935,0.0325,0.0186,0.0046,0.007,0.0464,0,0.0139,0.6619
Richard Bland College,799,0.4456,0.5544,0.3805,0.3905,0.0613,0.0075,0.01,0,0.0989,0.035,0.0163,0.1437
Bon Secours Memorial College of Nursing,527,0.0892,0.9108,0.63,0.2543,0.0095,0.0626,0.0076,0,0.0361,0,0,0.2058
University of Richmond,3002,0.46,0.54,0.6103,0.0626,0.1009,0.0613,0.001,3e-4,0.0436,0.1066,0.0133,0.1755
Riverside College of Health Careers,325,0.0892,0.9108,0.5631,0.2585,0.0585,0.0338,0.0031,0.0031,0.0769,0,0.0031,0.4792
Roanoke College,1801,0.4564,0.5436,0.7735,0.0639,0.0655,0.0183,0.0033,0.0011,0.0383,0.0361,0,0.2432
Bon Secours St Mary's Hospital School of Medical Imaging,31,0.129,0.871,0.8065,0.1613,0,0.0323,0,0,0,0,0,0.2222
Shenandoah University,2127,0.4335,0.5665,0.6027,0.0874,0.1086,0.0306,0.0108,0.0038,0.0324,0.0028,0.1208,0.1865
Southeastern Free Will Baptist Bible College,74,0.5541,0.4459,0.9189,0,0.0405,0.0135,0.0135,0,0.0135,0,0,0.3649
Southern Virginia University,967,0.516,0.484,0.7601,0.0527,0.0693,0.0083,0.0052,0.031,0.0527,0.0196,0.001,0.4329
Southside Virginia Community College,1835,0.3341,0.6659,0.4632,0.4158,0.0501,0.0071,0.0022,5e-4,0.036,0.0054,0.0196,0.3419
Southwest Virginia Community College,1600,0.3581,0.6419,0.9019,0.0313,0.0188,0.0044,0.0031,0,0.0231,0.0094,0.0081,0.4508
Staunton School of Cosmetology,25,0.12,0.88,0.76,0.16,0.08,0,0,0,0,0,0,0.5313
Strayer University-Virginia,2010,0.3368,0.6632,0.2483,0.5338,0.0975,0.0433,0.0055,0.003,0.0493,0.004,0.0154,0.5469
Sweet Briar College,463,0,1,0.6803,0.0907,0.0475,0.0281,0.0108,0.0022,0.0086,0.095,0.0367,0.3129
Virginia Peninsula Community College,3901,0.424,0.576,0.4301,0.2953,0.1187,0.0349,0.0038,0.0031,0.0774,0.0064,0.0302,0.2876
Tidewater Community College,11797,0.4136,0.5864,0.4085,0.3107,0.1208,0.0484,0.004,0.0042,0.0702,0.0092,0.024,0.2905
University of Virginia's College at Wise,1214,0.4127,0.5873,0.5025,0.0931,0.0132,0.0181,0.0016,0,0.0107,0,0.3608,0.3298
Virginia Highlands Community College,1335,0.3573,0.6427,0.8861,0.0315,0.0375,0.006,0.0022,7e-4,0.0255,7e-4,0.0097,0.4197
Virginia Polytechnic Institute and State University,30435,0.5717,0.4283,0.5818,0.0616,0.1031,0.1276,0.001,9e-4,0.055,0.0438,0.0252,0.1501
