INSTNM,INSTURL,SAT_AVG,ADM_RATE,IS_PUBLIC,IS_CITY
Paul Mitchell the School-Arkansas,https://paulmitchell.edu/arkansas/,NA,NA,0,1
Searcy Beauty College,searcybeautycollege.com/,NA,NA,0,0
Shorter College,www.shortercollege.edu/,NA,NA,0,1
Williams Baptist University,https://williamsbaptistuniversity.com/,1018,0.5888,0,0
South Arkansas College,www.southark.edu/,NA,NA,1,0
Southern Arkansas University Main Campus,https://www.saumag.edu/,1050,0.6659,1,0
Southern Arkansas University Tech,www.sautech.edu/,NA,NA,1,0
Velvatex College of Beauty Culture,www.velvatexcollege.com/,NA,NA,0,1
University of Arkansas-Fort Smith,https://uafs.edu/,1050,0.8147,1,1
Academy of Art University,www.academyart.edu/,NA,NA,0,1
Academy of Chinese Culture and Health Sciences,www.acchs.edu/,NA,NA,0,1
College of Alameda,https://alameda.edu/,NA,NA,1,1
Allan Hancock College,www.hancockcollege.edu/,NA,NA,1,1
American Academy of Dramatic Arts-Los Angeles,www.aada.edu/,NA,0.8968,0,1
Berkeley School of Theology,www.bst.edu/,NA,0.6296,0,1
American Film Institute Conservatory,www.afi.com/,NA,NA,0,1
American Beauty College,https://www.americanbeautycollege.edu/,NA,NA,0,1
American Career College-Los Angeles,https://americancareercollege.edu/,NA,NA,0,1
American River College,https://www.arc.losrios.edu/,NA,NA,1,1
Antelope Valley Community College District,www.avc.edu/,NA,NA,1,1
Art Center College of Design,www.artcenter.edu/,NA,0.7498,0,1
Associated Technical College-Los Angeles,www.atcla.edu/,NA,NA,0,1
Associated Technical College-San Diego,www.atcsd.edu/,NA,NA,0,1
Azusa Pacific University,www.apu.edu/,1155,0.7948,0,1
Bakersfield College,https://www.bakersfieldcollege.edu/,NA,NA,1,1
Barstow Community College,www.barstow.edu/,NA,NA,1,0
Bellus Academy-Chula Vista,www.bellusacademy.edu/,NA,NA,0,1
Bethesda University,www.buc.edu/,NA,NA,0,1
Biola University,https://www.biola.edu/,1258,0.6008,0,1
Brownson Technical School,https://brownson.edu/,NA,NA,0,1
Bryan University,bryanuniversity.edu/,NA,NA,0,1
Butte College,www.butte.edu/,NA,NA,1,0
California Institute of Integral Studies,https://www.ciis.edu/,NA,NA,0,1
Cabrillo College,https://www.cabrillo.edu/,NA,NA,1,1
California Baptist University,www.calbaptist.edu/,NA,0.7357,0,1
California College of the Arts,www.cca.edu/,NA,0.734,0,1
University of California College of the Law-San Francisco,www.uclawsf.edu/,NA,NA,1,1
California Institute of Technology,www.caltech.edu/,NA,0.0314,0,1
California Lutheran University,www.callutheran.edu/,1224,0.8888,0,1
California Polytechnic State University-San Luis Obispo,calpoly.edu/,NA,0.2975,1,1
Alliant International University-San Diego,https://www.alliant.edu/,NA,0,0,1
California State University-Bakersfield,www.csub.edu/,NA,0.8819,1,1
California State University-Stanislaus,https://www.csustan.edu/,NA,0.9747,1,1
California State University-San Bernardino,www.csusb.edu/,NA,0.9825,1,1
California State Polytechnic University-Pomona,www.cpp.edu/,NA,0.737,1,1
California State University-Chico,www.csuchico.edu/,NA,0.9372,1,1
California State University-Dominguez Hills,https://www.csudh.edu/,NA,0.9132,1,1
California State University-Fresno,www.fresnostate.edu/,NA,0.9638,1,1
California State University-Fullerton,www.fullerton.edu/,NA,0.8674,1,1
California State University-East Bay,https://www.csueastbay.edu/,NA,0.9681,1,1
California State University-Long Beach,www.csulb.edu/,NA,0.4712,1,1
California State University-Los Angeles,https://www.calstatela.edu/,NA,0.9193,1,1
California State University-Northridge,https://www.csun.edu/,NA,0.9315,1,1
California State University-Sacramento,https://www.csus.edu/,NA,0.9362,1,1
University of California-Berkeley,www.berkeley.edu/,NA,0.1166,1,1
University of California-Davis,ucdavis.edu/,NA,0.4163,1,1
University of California-Irvine,www.uci.edu/,NA,0.2557,1,1
University of California-Los Angeles,www.ucla.edu/,NA,0.0873,1,1
University of California-Riverside,www.ucr.edu/,NA,0.633,1,1
University of California-San Diego,www.ucsd.edu/,NA,0.2452,1,1
University of California-San Francisco,ucsf.edu/,NA,NA,1,1
University of California-Santa Barbara,www.ucsb.edu/,NA,0.2778,1,1
University of California-Santa Cruz,www.ucsc.edu/,NA,0.6254,1,1
Sofia University,www.sofia.edu/,NA,NA,0,1
California Beauty School,www.calbeautycollege.edu/,NA,NA,0,1
Haven University,www.haven.edu/,NA,NA,0,1
California Hair Design Academy,https://chdaschools.com/,NA,NA,0,1
California Institute of the Arts,https://www.calarts.edu/,NA,0.2595,0,1
California State University Maritime Academy,https://www.csum.edu/,NA,0.9873,1,1
California Western School of Law,https://www.cwsl.edu/,NA,NA,0,1
Canada College,canadacollege.edu/,NA,NA,1,1
College of the Canyons,www.canyons.edu/,NA,NA,1,1
Career Academy of Beauty,caofb.com/,NA,NA,0,1
Casa Loma College-Los Angeles,https://www.casalomacollege.edu/,NA,0.3641,0,1
CET-San Diego,https://www.cetweb.edu/,NA,NA,0,1
CET-San Jose,https://cetweb.edu/,NA,NA,0,1
CET-El Centro,https://cetweb.edu/,NA,NA,0,1
CET-Colton,https://cetweb.edu/,NA,NA,0,1
CET-Watsonville,https://www.cetweb.edu/,NA,NA,0,1
CET-Salinas,https://cetweb.edu/,NA,NA,0,1
Cerritos College,www.cerritos.edu/,NA,NA,1,1
Cerro Coso Community College,https://cerrocoso.edu/,NA,NA,1,0
Chabot College,www.chabotcollege.edu/,NA,NA,1,1
Chaffey College,https://www.chaffey.edu/,NA,NA,1,1
Chapman University,https://www.chapman.edu/,1353,0.5561,0,1
Charles R Drew University of Medicine and Science,www.cdrewu.edu/,NA,0.3878,0,1
Concordia University-Irvine,www.cui.edu/,NA,0.5986,0,1
San Diego Christian College,sdcc.edu/,NA,0.6281,0,1
Church Divinity School of the Pacific,www.cdsp.edu/,NA,NA,0,1
Citrus College,https://www.citruscollege.edu/,NA,NA,1,1
Citrus Heights Beauty College,chbeautycollege.com/,NA,NA,0,1
City College of San Francisco,www.ccsf.edu/,NA,NA,1,1
Claremont Graduate University,www.cgu.edu/,NA,NA,0,1
Claremont McKenna College,www.cmc.edu/,1514,0.1112,0,1
Milan Institute-Visalia,www.milaninstitute.edu/,NA,NA,0,1
Clovis Adult Education,clovisadult.cusd.com/,NA,NA,1,1
Coastline Community College,www.coastline.edu/,NA,NA,1,1
University of Silicon Valley,https://usv.edu/,NA,0.5131,0,1
